athlete,gender,gender_M,n_runs,total_km,avg_km,std_km,max_km,med_pace_min_km,avg_pace_min_km,std_pace_min_km,avg_speed_kmh,std_speed_kmh,avg_hr,std_hr,elev_gain_total,elev_gain_avg,elev_gain_std,weekly_km,best10_dist_km,best10_s,best10_h,pred_marathon_h,y_proxy
19023831,M,1,761,8234.7411,10.820947568988172,7.881813142904059,78.9932,5.19136436854496,5.236355615783965,0.6409600762878681,11.59268142755647,1.1542291973156895,138.0355430183357,11.993596709417956,78344.3,102.94914586070959,262.7402670888635,50.876599911738744,10.0665,2352.0,0.6533333333333333,2.9844221842148597,1
19048091,M,1,238,2459.8882,10.335664705882353,7.2778977893575565,91.9035,5.685552716262172,5.995792919762883,1.549348740380408,10.306952655632722,1.593161442077064,144.50531914893617,12.007879472093137,24221.0,101.76890756302521,150.2581532419429,10.563937055214723,10.027299999999999,2891.0,0.8030555555555555,3.683555286681072,0
19741163,M,1,428,5258.1163,12.285318457943925,6.832225671975179,99.9835,5.228127791278922,5.753700167483745,3.2587139715629654,11.154071153686813,1.9850351714947585,155.22543859649122,18.879929970001783,157510.4,368.01495327102805,439.0670800758362,29.421913749000797,9.7264,2553.0,0.7091666666666666,3.3596629584235838,1
19905281,F,0,170,1928.7466,11.345568235294117,5.798978162827441,42.790800000000004,5.505435523826225,5.835272724478342,1.5569601428869277,10.756378120630604,1.946739806417916,157.43882352941176,12.87625254302744,52118.6,306.58,947.9498946012683,15.359756769055744,10.0515,2394.0,0.665,3.0425208731901536,1
20032449,F,0,266,3845.4889,14.456725187969925,7.0211047952506345,42.6661,5.613448174209658,6.747138721618874,18.06447955733494,10.7176502309323,1.1700032227943327,,,35373.4,132.9827067669173,120.69052549847733,25.61220009514748,9.543899999999999,2857.0,0.7936111111111112,3.835967838501117,1
20136629,M,1,411,4893.2107,11.90562214111922,7.533569202936636,74.0,6.339124933080255,6.7024854511638825,1.7595170589636524,9.384220695921726,1.798762962111666,145.40144927536232,18.640963632942643,143199.8,348.41800486618,455.8708110931663,32.01165878504673,10.0631,2736.0,0.76,3.4729181443996144,1
20181492,F,0,700,7494.0278,10.705754,6.148772558327961,51.4508,5.483147343612459,6.036872538959083,2.2861796156549428,10.501000185134659,1.773412088363774,,,98793.6,141.1337142857143,255.2140345664582,51.12884463937621,9.6431,2746.0,0.7627777777777778,3.6467417752510083,1
20263706,M,1,81,1246.6121,15.390272839506174,13.149544452736874,75.466,5.638527507146608,6.936036696655181,2.750859855027182,9.4650620820926,2.6632959659840805,149.37692307692308,15.759978523999433,41143.2,507.9407407407407,785.3627928826553,8.51344848780488,10.003,3196.0,0.8877777777777778,4.082656444980378,0
20557028,F,0,172,1013.2374,5.89091511627907,2.767112942997146,20.215400000000002,6.333670354070021,6.681921801401096,2.0931567595738088,9.31298491470094,1.2313157913508848,172.2,,11306.5,65.73546511627907,84.6782687748538,7.085576223776224,10.0617,3563.0,0.9897222222222222,4.523330554931993,0
20653961,M,1,621,6971.1364,11.225662479871175,8.622566533709751,78.0331,5.369795554857046,5.78673971236475,1.538429768741997,10.943141670863184,2.3360098627546404,122.92311733800351,18.033412208431052,172822.8,278.2975845410628,561.6149052945397,47.7475095890411,10.026,2214.0,0.615,2.8213463533971272,1
21299972,F,0,235,1828.9223,7.782648085106382,3.592322186552061,29.3014,6.391466933325001,6.8420067979749435,2.1192059981654174,9.176233026328886,1.5809240258108217,164.93333333333334,19.683737650583407,19328.6,82.24936170212766,109.72735806791853,12.866790050251256,9.735299999999999,3419.0,0.9497222222222222,4.494930190622284,0
22353493,M,1,295,2642.409,8.957318644067797,4.351072231410384,21.249,4.856180494863332,5.030709958401669,1.141331446549785,12.41317056374692,2.6520770328780454,154.98679245283017,17.887418202391366,22806.8,77.31118644067796,111.062643245954,19.93196443965517,10.095,2110.0,0.5861111111111111,2.669340050070303,1
22538702,M,1,769,10370.1711,13.48526801040312,6.878124018644204,71.3744,5.382879775278944,5.956155038551291,6.088947466104286,10.866390085949952,2.468453194079037,140.32857142857142,18.574203026304996,170604.2,221.8520156046814,397.8713602032955,70.9591375366569,10.013,2216.0,0.6155555555555555,2.827781421541404,1
22559703,M,1,193,2716.6713,14.076017098445595,13.864943095709345,84.5,5.1525842651836795,5.696764465860795,1.7116618985348673,11.22333165844564,3.045576236112755,164.55555555555554,19.863531262437615,106450.8,551.558549222798,839.3316686147084,23.333373128834356,10.05,2059.0,0.5719444444444445,2.617185292532236,1
22835898,F,0,524,5692.8792,10.864273282442749,5.764221441922743,43.411300000000004,5.963029218843172,6.115482577480887,1.0439146414848883,10.001573373536386,1.7242304110004523,146.69979423868313,13.540356630810491,70519.9,134.57996183206106,176.09478131643164,10.899932822757112,10.1359,2758.0,0.7661111111111111,3.4741963169878534,1
22843389,F,0,293,3508.2272,11.973471672354949,6.3862388466307225,53.782300000000006,6.059686393525544,10.68920668783347,40.33056408626099,9.33014640387066,2.0047603989503755,158.04664310954064,11.51130870288121,86310.0,294.5733788395904,441.8649172663573,24.881043971631204,10.1144,3113.0,0.8647222222222222,3.9302188854263735,1
22866236,M,1,257,3349.6052,13.03348326848249,9.975597068420353,106.862,5.959300448198809,7.34347179428271,3.195700871500883,9.271397967921269,2.769088331251016,150.6620481927711,13.636730902928145,140345.3,546.0906614785991,671.6989887404562,25.320989632829374,9.896700000000001,2418.0,0.6716666666666666,3.1239970598986355,1
22891135,M,1,272,2952.4131,10.85445992647059,5.8566330774126145,40.112,5.269906872333912,5.717552649355803,1.5177341578593468,12.148246267183703,20.1276456873412,149.76949806949807,12.834433009577088,55981.6,205.81470588235294,333.4907124360348,22.415283839479393,9.9,2717.0,0.7547222222222222,3.5090574787982445,0
22972731,F,0,230,2976.8149,12.942673478260868,6.417120416717766,36.6338,8.227312888985306,8.264717204601508,2.663859276991616,8.0877854924606,2.729179996577549,149.35882352941175,13.597934531737227,177580.3,772.0882608695651,623.9150968800691,22.898576153846154,10.005799999999999,2821.0,0.7836111111111111,3.6025524231046866,1
23729907,M,1,860,8435.7254,9.808983023255813,6.857016276237568,61.7349,6.517408535172948,10.605086018409368,54.433910525987365,8.951060138931332,1.933593256950251,143.38655834564253,12.765527016202602,234827.2,273.05488372093026,498.2457479191812,22.69411137586472,10.0114,2967.0,0.8241666666666667,3.786754879455559,0
24281078,M,1,6,25.4659,4.244316666666667,0.19347689698428233,4.5243,9.495076406682589,9.596846509118373,0.45473357473901166,6.2632798097045566,0.2845870913927868,,,176.0,29.333333333333332,13.69286919044605,2.3455434210526316,,,,,0
24944587,M,1,152,1500.764,9.873447368421052,3.9247318147201447,18.0243,5.783919910144609,7.528798910987055,14.018930366511547,9.67396009371511,2.9781912788873663,146.58983050847456,16.72860485766363,11419.4,75.12763157894737,113.79722537462284,13.932822281167109,10.026299999999999,2760.0,0.7666666666666667,3.51701398428801,0
25039796,F,0,146,966.0978,6.617108219178082,2.9382003378213275,14.260299999999999,6.922627751316241,7.007453870695155,0.4966808413250299,8.54458304118464,0.925464764042219,166.7173611111111,9.714507425805484,8683.2,59.47397260273973,79.41545932607619,8.197193454545454,10.1846,4090.0,1.136111111111111,5.125979235144588,0
25191153,M,1,448,4697.0901,10.484576116071429,8.171051722739994,106.295,6.4050244224354955,7.128048829808792,1.8410081470361535,8.8877088724796,1.8900629575719015,143.69398734177216,17.97551761631475,158776.1,354.4109375,542.4611682849804,36.4115511627907,9.706,2892.0,0.8033333333333333,3.814255089081779,0
25262730,M,1,247,2801.793,11.34329149797571,8.34696695160022,91.5,5.827010773982174,6.440188010489436,1.8787485179248102,9.819783216757342,2.083535706521563,161.40348837209302,15.120056393253204,81886.1,331.52267206477734,465.81302301536954,22.136062076749436,10.007,2458.0,0.6827777777777778,3.138584999131682,1
25277048,F,0,254,1760.4076,6.930738582677165,3.552301761287824,23.124,6.080590073395829,7.258224795272525,8.073544203509588,9.436640235016291,2.034374176443485,139.7,,44752.4,176.19055118110236,213.52015240601875,14.864720386007237,10.265,2717.0,0.7547222222222222,3.376939635064136,1
25372889,M,1,330,3729.1638,11.300496363636363,8.377886592204556,82.3,5.303735140362098,5.9765175023659545,2.2831944665833706,10.835285853529399,2.6373801550370928,158.528125,15.17142432804951,96197.9,291.50878787878787,421.9376216322482,29.663802954545453,9.99,2208.0,0.6133333333333333,2.8244494176010475,1
26363316,M,1,75,503.52660000000003,6.713688,4.88168894045294,26.4272,4.631146645695436,7.570046724321313,4.99882186746267,10.633131595530767,4.412904675569657,,,20524.7,273.66266666666667,409.5058052498565,4.915880334728033,10.029200000000001,3483.0,0.9675,4.4369583794141585,0
26367918,M,1,253,3605.3364,14.250341501976285,7.987993442073675,60.5132,5.870382800098017,7.086399217271126,10.362932806352903,9.905555841997305,2.3788858351686435,151.3978260869565,10.620045500491225,119737.0,473.2687747035573,637.539836238453,32.2316153256705,10.05,2471.0,0.6863888888888889,3.140876570105466,1
26534495,F,0,330,3335.1629,10.106554242424242,7.220986324490401,73.096,6.8110049411785525,8.342297004293572,4.075956057326131,8.328369046586598,2.6200293616389505,155.62287234042552,17.04088378130041,119527.5,362.20454545454544,533.2633898249571,27.926005143540667,9.8985,2770.0,0.7694444444444445,3.578082651885753,1
26583329,M,1,251,2780.7287,11.078600398406374,4.133238945664746,30.868,6.60862569318737,7.847745098967458,2.82484892562047,8.530776298135478,2.549046991986025,139.60533333333333,9.844601941540729,118790.7,473.26972111553783,458.50626713221925,26.737775961538464,10.0163,2610.0,0.725,3.329391712455424,1
